color,l,a,b,parent
海参灰,71.54819122,0.654427496,-5.017477718,白
海天蓝,79.98718245,-10.10128626,-8.988277012,白
海天霞,75.12,26.273,20.86,红
海带绿,41.21692356,-7.151237379,1.849489316,青
海报灰,23.592,9.314,4.363,黑
海沫绿,78.42676131,-10.51214659,18.71251547,白
海沬绿,90.36,-8.33,18.951,白
海涛蓝,39.91070861,6.249850428,-38.44567815,紫
海王绿,50.97306654,-28.06243243,0.812182656,碧
海蓝,53.37233333,-12.51033333,-26.486,青
海螺橙,70.71056996,31.32954647,34.5631179,赤
海象紫,29.84876144,25.78119212,-6.408859632,紫
海豹灰,44.37448298,10.28619604,5.251567421,紫
海青,67.87491628,-17.49147015,-28.62586219,青
海鸥灰,61.61551346,6.764362996,8.410816093,碧
润红,83.93548798,15.97421941,10.00781838,白
涧石蓝,65.45694677,-12.56859382,-22.34261921,青
淡可可棕,45.42521717,35.85375815,43.9876636,赤
淡咖啡,49.08668678,16.58461938,21.60901783,红
淡土黄,45.94816639,20.96171601,20.49853641,红
淡墨绿,41,-23,6,绿
淡曙红,53.86818255,63.4395732,27.02304555,红
淡松烟,39.78959305,3.547999317,11.13330493,黑
淡栗棕,34.59365271,18.40191566,13.98651297,黑
淡桃红,79.92950459,17.75265245,10.53531646,白
淡棕茶,66.795,-0.875,15.373,绿
淡橘橙,73.90974382,27.21732716,65.93603428,黄
淡灰绿,65.12770935,-6.149807101,16.96330452,绿
淡牵牛紫,76.39146147,12.93445616,-7.658983023,白
淡玫瑰灰,62.92945192,13.80913772,7.598458043,白
淡米粉,89.87526818,6.582483493,3.831523603,白
淡米色,90.592,-5.808,22.472,白
淡粉,74.178,19.64,-2.742,白
淡紫,71.859,6.927,-22.277,青
淡红灰,63.59104478,10.83372352,2.064037162,青
淡纬红,71.56594766,23.8379879,2.777691723,红
淡绛红,64.158,48.693,4.181,红
淡绯,83.00249711,16.84103728,2.159418219,白
淡维红,75.03989368,41.55624333,4.129166541,红
淡绿灰,58.13458604,-9.090759527,-0.472819615,碧
淡罂粟红,74.10370935,33.67326113,22.78477303,红
淡翠绿,85.90773111,-10.27496554,3.24962624,白
淡肉色,92.38539896,4.634692122,23.30888895,白
淡芍药红,83,15,8,白
淡茜红,67.28812011,40.11280881,6.16905788,红
淡茧黄,86.61476294,4.851380464,41.85638542,黄
淡菽红,58.41522425,53.59142345,28.26923151,赤
淡蓝,70.2,-5.3,-17.55,青
淡蓝灰,47.93869554,-2.066742354,-11.553791,青
淡蓝紫,70.49197099,10.14655138,-14.73193158,白
淡蕊香红,61.73726334,60.26889688,13.70790354,红
淡藏花红,79.13723039,27.59218254,21.09493673,红
淡藕荷,81.056,6.485,-8.938,白
淡藤萝紫,91.75938287,6.480981783,-3.336705921,白
淡蜜黄,84.32998097,3.858530089,51.1871637,黄
淡豆沙,40.86509105,26.86848021,26.73673506,赤
淡赭,60.01647284,15.72214042,24.5604207,流黄
淡郁金红,76.00721825,15.3526361,-0.882280332,白
淡铁灰,42.89319063,10.22375962,5.938975981,黑
淡银灰,72.51399248,6.168841368,7.438564721,白
淡青,83.616,-1.54,-12.401,白
淡青紫,82.786,9.924,-1.398,白
