color,from,l,a,b
甸子蓝,色谱_perchouli,65.179,-29.198,-20.583
晚波蓝,色谱_perchouli,56.248,-13.066,-7.285
清水蓝,色谱_perchouli,81.267,-19.046,-10.103
海天蓝,色谱_perchouli,89.122,-10.021,-4.49
冰山蓝,色谱_perchouli,69.603,-3.776,1.591
丁香淡紫,色谱_perchouli,87.608,7.561,-1.685
青莲,色谱_perchouli,34.126,50.005,-20.038
玫瑰紫,色谱_perchouli,44.097,60.649,-10.284
葡萄紫,色谱_perchouli,18.559,21.846,6.995
葡萄酱紫,色谱_perchouli,18.649,32.575,17.41
酱紫,色谱_perchouli,15.565,28.871,11.54
栗紫,色谱_perchouli,19.837,29.86,15.44
暗玉紫,色谱_perchouli,22.093,26.7,12.954
猪肝紫,色谱_perchouli,19.807,25.723,8.943
李紫,色谱_perchouli,9.027,13.436,2.959
金鱼紫,色谱_perchouli,15.387,32.033,12.888
甘蔗紫,色谱_perchouli,21.202,34.7,11.299
石竹紫,色谱_perchouli,19.595,39.165,14.852
卵石紫,色谱_perchouli,11.179,14.007,1.666
芝兰紫,色谱_perchouli,84.594,11.293,0.27
火鹅紫,色谱_perchouli,11.262,16.986,0.359
鹞冠紫,色谱_perchouli,22.737,33.178,2.325
茄皮紫,色谱_perchouli,7.841,17.765,3.314
磨石紫,色谱_perchouli,15.946,12.472,-0.722
墨紫,色谱_perchouli,9.593,18.768,0.145
檀紫,色谱_perchouli,13.612,16.92,-0.534
菜头紫,色谱_perchouli,33.329,51.313,5.398
淡青紫,色谱_perchouli,82.786,9.924,-1.398
海象紫,色谱_perchouli,18.497,23.456,-0.876
洋葱紫,色谱_perchouli,43.719,44.532,-1.326
绀紫,色谱_perchouli,15.677,25.133,-0.841
马鞭草紫,色谱_perchouli,91.104,4.081,-0.735
古铜紫,色谱_perchouli,13.691,27.81,-0.884
樱草紫,色谱_perchouli,56.924,37.417,-8.275
苋菜紫,色谱_perchouli,35.634,55.136,-9.202
龙睛鱼紫,色谱_perchouli,22.465,20.232,-6.684
青蛤壳紫,色谱_perchouli,61.674,27.157,-10.426
萝兰紫,色谱_perchouli,64.683,24.245,-9.847
荸荠紫,色谱_perchouli,16.561,21.738,-8.194
豆蔻紫,色谱_perchouli,52.354,36.292,-15.394
扁豆紫,色谱_perchouli,48.792,36.269,-15.604
牵牛紫,色谱_perchouli,24.212,41.497,-15.769
芓紫,色谱_perchouli,38.767,37.312,-16.046
葛巾紫,色谱_perchouli,30.423,46.987,-18.298
芥花紫,色谱_perchouli,39.367,49.353,-21.111
凤信紫,色谱_perchouli,73.645,13.769,-8.082
深牵牛紫,色谱_perchouli,5.504,9.426,-5.522
魏紫,色谱_perchouli,29.918,52.013,-26.79
乌梅紫,色谱_perchouli,7.502,7.895,-4.84
桔梗紫,色谱_perchouli,37.102,40.726,-27.99
淡牵牛紫,色谱_perchouli,80.091,8.304,-6.583
剑锋紫,色谱_perchouli,24.431,4.643,-4.615
蕈紫,色谱_perchouli,37.607,-0.482,-36.879
槿紫,色谱_perchouli,49.49,17.768,-23.74
龙葵紫,色谱_perchouli,20.151,4.29,-7.107
藤萝紫,色谱_perchouli,52.052,13.622,-22.713
暗龙胆紫,色谱_perchouli,13.048,4.757,-8.945
暗蓝紫,色谱_perchouli,6.022,6.295,-12.56
野葡萄紫,色谱_perchouli,20.71,8.196,-17.141
野菊紫,色谱_perchouli,37.125,14.228,-30.16
远山紫,色谱_perchouli,82.313,1.865,-4.952
螺甸紫,色谱_perchouli,50.454,8.347,-20.585
晶石紫,色谱_perchouli,13.794,9.77,-20.587
满天星紫,色谱_perchouli,24.425,23.302,-43.176
淡蓝紫,色谱_perchouli,69.394,3.855,-10.857
山梗紫,色谱_perchouli,44.459,13.992,-32.368
淡藤萝紫,色谱_perchouli,92.437,3.375,2.3
貂紫,色谱_perchouli,25.999,19.889,8.842
金黄,色谱_perchouli,64.28,40.615,65.026
云峰白,色谱_perchouli,89.536,-2.915,-3.218
深灰,色谱_perchouli,50.672,2.201,6.334
银灰,色谱_perchouli,54.735,4.108,9.977
芦灰,色谱_perchouli,48.435,10.341,0.789
芦穗灰,色谱_perchouli,72.301,5.196,2.455
海报灰,色谱_perchouli,23.592,9.314,4.363
河豚灰,色谱_perchouli,23.14,0.0,2.816
淡蓝灰,色谱_perchouli,49.256,-6.208,-10.8
月影白,色谱_perchouli,78.826,-1.565,0.018
银鱼白,色谱_perchouli,83.591,-0.991,-1.465
芡食白,色谱_perchouli,89.683,0.876,-1.343
银白,色谱_perchouli,94.796,-0.193,1.563
象牙白,色谱_perchouli,99.581,-0.706,2.979
雪白,色谱_perchouli,99.606,-0.535,2.501
汉白玉,色谱_perchouli,96.316,0.13,3.837
粉白,色谱_perchouli,95.814,0.518,8.307
乳白,色谱_perchouli,96.001,-2.299,12.164
荷花白,色谱_perchouli,94.216,2.773,8.601
莲子白,色谱_perchouli,85.073,-0.024,22.602
荔肉白,色谱_perchouli,91.653,0.173,13.157
蚌肉白,色谱_perchouli,95.231,-0.94,11.583
菊蕾白,色谱_perchouli,88.168,-2.019,20.66
鱼肚白,色谱_perchouli,96.241,-0.208,3.719
珍珠灰,色谱_perchouli,89.006,0.309,4.515
浅灰,色谱_perchouli,85.152,0.494,5.176
铅灰,色谱_perchouli,73.928,0.522,5.334
中灰,色谱_perchouli,73.928,0.522,5.334
瓦灰,色谱_perchouli,53.274,1.559,5.44
夜灰,色谱_perchouli,52.489,1.565,5.456
雁灰,色谱_perchouli,50.301,2.382,5.792
长石灰,色谱_perchouli,21.869,0.652,0.943
狼烟灰,色谱_perchouli,41.939,-4.366,2.336
绿灰,色谱_perchouli,29.3,-11.37,1.12
淡绿灰,色谱_perchouli,54.588,-10.95,3.049
明灰,色谱_perchouli,61.492,-7.002,3.553
镍灰,色谱_perchouli,66.442,-3.129,4.174
黄昏灰,色谱_perchouli,31.563,-1.399,-1.159
海鸥灰,色谱_perchouli,57.88,4.119,11.083
垩灰,色谱_perchouli,51.256,-3.551,-0.607
夏云灰,色谱_perchouli,46.4,-5.719,-2.564
穹灰,色谱_perchouli,84.582,-6.539,-1.684
青灰,色谱_perchouli,20.938,-0.341,-8.024
瓦罐灰,色谱_perchouli,30.631,0.496,-2.531
嫩灰,色谱_perchouli,49.877,-3.109,3.868
战舰灰,色谱_perchouli,38.004,-3.839,-9.789
星灰,色谱_perchouli,75.279,-2.528,-2.593
水牛灰,色谱_perchouli,19.616,1.478,-3.82
牛角灰,色谱_perchouli,19.133,1.595,-5.252
大理石灰,色谱_perchouli,81.265,-1.63,-2.819
海参灰,色谱_perchouli,99.63,-0.363,2.024
沙鱼灰,色谱_perchouli,21.766,3.047,-5.33
鱼尾灰,色谱_perchouli,41.269,1.526,-7.182
鲸鱼灰,色谱_perchouli,34.282,0.926,-12.325
锌灰,色谱_perchouli,49.081,2.885,0.415
玛瑙灰,色谱_perchouli,82.2,0.495,1.856
古鼎灰,色谱_perchouli,18.257,7.266,-1.591
紫灰,色谱_perchouli,30.584,16.272,-5.571
斑鸠灰,色谱_perchouli,20.943,16.563,-2.205
暮云灰,色谱_perchouli,26.27,11.292,0.316
苍蝇灰,色谱_perchouli,17.811,7.126,0.556
鼠背灰,色谱_perchouli,39.973,12.398,1.589
淡玫瑰灰,色谱_perchouli,64.214,11.233,13.044
玫瑰灰,色谱_perchouli,39.991,51.498,33.247
晓灰,色谱_perchouli,80.122,3.443,8.546
淡铁灰,色谱_perchouli,30.464,9.572,9.104
蛛网灰,色谱_perchouli,67.467,5.999,10.919
石板灰,色谱_perchouli,33.444,9.365,8.914
珠母灰,色谱_perchouli,33.311,10.307,11.296
淡银灰,色谱_perchouli,73.431,2.839,9.6
猴毛灰,色谱_perchouli,56.253,3.364,15.629
松鼠灰,色谱_perchouli,28.273,4.117,11.012
橄榄灰,色谱_perchouli,27.623,4.766,15.282
百灵鸟灰,色谱_perchouli,69.58,0.103,13.308
鹤灰,色谱_perchouli,27.791,2.27,8.32
银鼠灰,色谱_perchouli,69.886,-0.36,14.847
尘灰,色谱_perchouli,67.877,-0.32,26.294
燕羽灰,色谱_perchouli,40.274,0.225,14.102
蟹壳灰,色谱_perchouli,40.31,0.228,15.976
月灰,色谱_perchouli,71.093,-1.89,17.101
酱色,乾隆色谱_刘剑,23.0,13.0,7.0
古铜,乾隆色谱_刘剑,31.0,7.0,19.0
桃红,乾隆色谱_刘剑,47.0,44.0,30.0
朱,乾隆色谱_刘剑,42.0,44.0,31.0
大红,乾隆色谱_刘剑,42.0,44.0,31.0
水红,乾隆色谱_刘剑,68.0,28.0,19.0
紫红,乾隆色谱_刘剑,37.0,27.0,-1.0
鱼红,乾隆色谱_刘剑,50.0,38.0,34.0
杏黄,乾隆色谱_刘剑,73.0,16.0,85.0
米色,乾隆色谱_刘剑,70.0,25.0,55.0
米白,乾隆色谱_刘剑,70.0,25.0,55.0
明黄,乾隆色谱_刘剑,79.0,1.0,73.0
葵黄,乾隆色谱_刘剑,82.0,-3.0,65.0
驼色,乾隆色谱_刘剑,59.0,15.0,28.0
秋香色,乾隆色谱_刘剑,52.0,5.0,50.0
官绿,乾隆色谱_刘剑,35.0,-17.0,16.0
砂绿,乾隆色谱_刘剑,49.0,-21.0,49.0
松绿,乾隆色谱_刘剑,43.0,-9.0,38.0
水绿,乾隆色谱_刘剑,46.0,-22.0,14.0
瓜皮绿,乾隆色谱_刘剑,20.0,-6.0,5.0
月白,乾隆色谱_刘剑,43.0,-7.0,-14.0
青,乾隆色谱_刘剑,16.0,3.0,-6.0
红青,乾隆色谱_刘剑,18.0,2.0,-8.0
元青,乾隆色谱_刘剑,15.0,1.0,0.0
宝蓝,乾隆色谱_刘剑,23.0,1.0,-17.0
深蓝,乾隆色谱_刘剑,19.0,3.0,-13.0
青莲紫,乾隆色谱_刘剑,42.0,19.0,-14.0
紫红,乾隆色谱_刘剑,37.0,27.0,-1.0
真紫,乾隆色谱_刘剑,37.0,27.0,1.0
藕荷紫,乾隆色谱_刘剑,40.0,14.0,-11.0
铁色紫,乾隆色谱_刘剑,33.0,19.0,-8.0
金黄,乾隆色谱_刘剑,65.0,19.0,71.0
灰色,乾隆色谱_刘剑,43.0,1.0,2.0
墨色,乾隆色谱_刘剑,37.0,1.0,0.0
赭石,DIC中国传统色,56.164,18.088,23.942
枣褐,DIC中国传统色,39.834,9.57,8.163
黄棕,DIC中国传统色,54.329,4.458,24.968
黄棕色,DIC中国传统色,54.329,4.458,24.968
棕茶,DIC中国传统色,58.99,8.831,31.412
浅黄棕,DIC中国传统色,72.202,10.39,26.634
鹿皮棕,DIC中国传统色,64.444,2.44,33.07
浅棕灰,DIC中国传统色,86.02,-1.126,11.221
粉棕,DIC中国传统色,79.086,3.163,13.514
淡棕茶,DIC中国传统色,66.795,-0.875,15.373
肉棕灰,DIC中国传统色,66.655,5.365,14.759
咖啡棕,DIC中国传统色,50.175,4.273,16.873
棕红,DIC中国传统色,38.349,13.203,11.693
豆棕,DIC中国传统色,39.28,10.997,4.892
酱色,DIC中国传统色,37.174,4.854,15.987
肉棕,DIC中国传统色,72.2,6.161,20.523
罗汉果色,DIC中国传统色,33.542,7.612,14.082
深栗色,DIC中国传统色,37.638,5.935,6.107
深褐色,DIC中国传统色,30.274,1.834,6.053
深烟,DIC中国传统色,39.076,3.63,1.317
烟栗色,DIC中国传统色,33.083,3.322,1.206
中棕灰,DIC中国传统色,63.031,-1.038,17.808
乳棕,DIC中国传统色,76.138,-1.305,23.749
乳灰,DIC中国传统色,74.388,-1.833,15.277
纸棕,DIC中国传统色,69.446,2.802,14.282
奶棕,DIC中国传统色,67.488,7.933,8.75
肉红,DIC中国传统色,52.253,29.285,2.748
妃色,DIC中国传统色,77.936,13.662,1.155
银红,DIC中国传统色,52.946,31.149,5.618
金红,DIC中国传统色,58.073,34.928,37.229
银朱,DIC中国传统色,46.546,41.609,16.991
猩红,DIC中国传统色,36.612,47.249,22.368
赭红,DIC中国传统色,53.38,18.29,20.047
殷红,DIC中国传统色,34.576,33.646,7.379
枣红,DIC中国传统色,29.333,29.039,6.668
胭脂红,DIC中国传统色,35.399,31.515,8.536
艳红,DIC中国传统色,42.396,48.637,23.011
殷红,DIC中国传统色,34.576,33.646,7.379
月季红,DIC中国传统色,33.226,50.326,19.699
松叶牡丹红,DIC中国传统色,33.296,53.083,13.346
玫瑰红,DIC中国传统色,34.237,33.907,6.236
榴花红,DIC中国传统色,44.044,46.638,25.215
胭脂红,DIC中国传统色,35.399,31.515,8.536
荷花红,DIC中国传统色,62.293,40.873,-9.205
鸡冠花红,DIC中国传统色,34.596,45.123,-8.482
砖红,DIC中国传统色,38.258,28.264,22.566
妃红,DIC中国传统色,43.255,37.159,21.29
猩红,DIC中国传统色,36.612,47.249,22.368
血红,DIC中国传统色,34.902,29.308,22.961
茉莉花红,DIC中国传统色,35.327,49.914,8.362
乌罗松红,DIC中国传统色,38.246,49.688,19.07
象牙红,DIC中国传统色,37.46,45.007,18.39
曙红,DIC中国传统色,38.181,51.211,20.95
蕉红色,DIC中国传统色,40.98,51.769,25.508
蕃茄红,DIC中国传统色,42.163,39.149,24.112
柿子红,DIC中国传统色,54.493,36.51,45.924
釉红,DIC中国传统色,43.082,30.292,22.002
锈红,DIC中国传统色,38.899,22.746,5.857
土红,DIC中国传统色,43.71,26.898,11.804
赭红,DIC中国传统色,53.38,18.29,20.047
米红,DIC中国传统色,76.651,7.955,19.311
棕红,DIC中国传统色,38.349,13.203,11.693
深釉红,DIC中国传统色,31.753,15.958,7.257
深烟红,DIC中国传统色,25.871,13.204,-0.917
红狐色,DIC中国传统色,58.515,13.197,30.925
红灰莲,DIC中国传统色,51.828,36.324,1.076
苏木色,DIC中国传统色,42.747,33.306,0.024
辰沙,DIC中国传统色,44.285,23.355,14.977
二硃,DIC中国传统色,46.757,34.971,20.089
硃膘,DIC中国传统色,49.691,42.628,34.39
章丹,DIC中国传统色,52.55,40.724,43.329
玛瑙粉,DIC中国传统色,67.297,13.472,24.777
银星海棠,DIC中国传统色,43.223,52.515,7.503
艳粉,DIC中国传统色,47.496,47.045,-1.636
长春花色,DIC中国传统色,60.18,40.773,-13.634
暗粉,DIC中国传统色,63.392,32.318,-5.968
粉凤仙,DIC中国传统色,76.963,18.966,-2.396
淡粉,DIC中国传统色,74.178,19.64,-2.742
镜面朱砂,DIC中国传统色,42.582,36.847,15.407
橙色,DIC中国传统色,57.891,30.342,50.018
桔黄,DIC中国传统色,60.078,26.433,43.627
红扇贝色,DIC中国传统色,56.323,34.913,27.025
粉橙色,DIC中国传统色,66.873,26.318,38.757
十样锦,DIC中国传统色,75.086,24.119,13.617
凤仙粉,DIC中国传统色,75.909,19.614,6.474
肉粉,DIC中国传统色,81.449,12.049,11.226
玛瑙色,DIC中国传统色,50.506,23.023,27.212
浅肉粉,DIC中国传统色,88.216,1.844,17.134
蛤蜊粉,DIC中国传统色,64.158,19.551,17.131
雄精,DIC中国传统色,60.456,42.2,46.446
蝶粉,DIC中国传统色,77.673,13.193,25.761
果肉色,DIC中国传统色,82.642,10.443,16.696
醉瓜肉,DIC中国传统色,56.15,36.292,33.083
淡黄,DIC中国传统色,90.332,-5.956,28.846
石黄,DIC中国传统色,79.406,2.832,59.225
明黄,DIC中国传统色,78.165,0.459,61.132
葵黄,DIC中国传统色,76.704,9.796,38.1
藤黄,DIC中国传统色,88.344,-6.938,49.808
姜黄,DIC中国传统色,58.744,0.42,41.838
草黄,DIC中国传统色,80.76,-11.309,57.557
柠檬黄,DIC中国传统色,86.252,-13.184,69.902
甘草黄,DIC中国传统色,80.939,-1.796,33.585
苍黄,DIC中国传统色,60.655,15.051,37.607
雄黄,DIC中国传统色,57.48,20.447,39.567
艳黄,DIC中国传统色,71.866,18.536,69.047
鹅黄,DIC中国传统色,68.09,18.638,66.518
虾黄,DIC中国传统色,63.883,13.61,47.206
肉黄,DIC中国传统色,76.663,14.195,18.398
浅驼色,DIC中国传统色,70.039,3.188,20.662
中驼,DIC中国传统色,53.883,4.836,17.485
树皮色,DIC中国传统色,52.272,15.182,27.045
桂皮色,DIC中国传统色,57.042,12.305,26.671
土布色,DIC中国传统色,73.71,8.686,29.76
黄琉璃,DIC中国传统色,69.176,7.109,51.383
琉璃色,DIC中国传统色,61.343,8.411,40.32
檀香色,DIC中国传统色,61.019,15.909,47.727
南瓜黄,DIC中国传统色,75.022,12.36,32.745
骆驼色,DIC中国传统色,73.674,7.445,23.739
浅桔黄,DIC中国传统色,73.674,7.445,23.739
芦黄,DIC中国传统色,79.303,5.138,19.806
鹿皮色,DIC中国传统色,74.98,5.887,34.076
鹿皮棕,DIC中国传统色,64.444,2.44,33.07
真丝绸色,DIC中国传统色,85.986,4.139,22.422
富春纺色,DIC中国传统色,85.998,2.212,26.6
乳黄色,DIC中国传统色,89.254,-2.253,24.3
甘石粉,DIC中国传统色,87.839,2.517,9.722
浅血牙,DIC中国传统色,83.776,8.927,3.832
黄鸭色,DIC中国传统色,47.393,13.756,22.634
烟色,DIC中国传统色,34.573,6.877,10.482
朱古力色,DIC中国传统色,44.864,6.067,12.914
卡其黄,DIC中国传统色,73.833,1.082,30.244
蜡黄,DIC中国传统色,89.525,-5.285,16.766
牙黄,DIC中国传统色,88.014,-3.123,24.606
枝黄,DIC中国传统色,77.658,-4.362,44.489
丹东石,DIC中国传统色,79.982,0.302,35.984
黄金色,DIC中国传统色,74.761,-4.216,44.766
蛋黄,DIC中国传统色,73.745,4.264,51.13
槐黄,DIC中国传统色,88.927,-13.895,67.36
丝瓜花黄,DIC中国传统色,84.357,-2.941,64.279
嫩姜黄,DIC中国传统色,75.286,-0.899,60.312
小鸡黄,DIC中国传统色,82.433,-3.532,37.12
淡米色,DIC中国传统色,90.592,-5.808,22.472
灰米,DIC中国传统色,69.275,-3.427,16.66
兽皮色,DIC中国传统色,62.825,4.323,24.915
黄灰,DIC中国传统色,74.383,-4.484,7.007
枝绿,DIC中国传统色,87.149,-12.494,6.289
玉色,DIC中国传统色,84.397,-10.592,9.183
三绿,DIC中国传统色,78.325,-18.293,10.342
浅草绿,DIC中国传统色,78.998,-21.079,35.596
湖色,DIC中国传统色,51.397,-12.883,-1.735
葱根绿,DIC中国传统色,75.783,-25.598,42.392
灰绿,DIC中国传统色,58.551,-9.896,-0.302
沙绿,DIC中国传统色,34.941,-14.916,-2.686
果绿,DIC中国传统色,73.934,-22.084,23.377
黄绿,DIC中国传统色,65.32,-16.007,39.375
青翠,DIC中国传统色,42.67,-20.812,3.127
橄榄绿,DIC中国传统色,39.92,-6.167,22.421
茶绿,DIC中国传统色,43.185,-5.076,9.635
墨绿,DIC中国传统色,35.88,-8.096,3.864
油绿,DIC中国传统色,39.607,-6.028,4.401
淡灰绿,DIC中国传统色,78.847,-7.59,6.988
枯绿,DIC中国传统色,71.385,-7.204,32.513
苍绿,DIC中国传统色,42.834,-9.354,13.264
毛绿,DIC中国传统色,35.7,-7.265,-8.991
松绿,DIC中国传统色,80.017,-5.633,9.288
鹦鹉绿,DIC中国传统色,53.293,-29.999,21.531
将校呢,DIC中国传统色,40.122,-0.343,12.653
新芽色,DIC中国传统色,65.415,-5.654,36.739
深银灰,DIC中国传统色,71.556,-2.603,11.148
米灰,DIC中国传统色,77.914,-1.89,10.068
芽灰,DIC中国传统色,79.001,-2.521,15.963
杨桃色,DIC中国传统色,85.694,-14.926,50.01
胡粉,DIC中国传统色,91.829,-2.15,11.794
蛤粉,DIC中国传统色,91.829,-2.15,11.794
立德粉,DIC中国传统色,94.074,-0.547,3.618
牙绿,DIC中国传统色,88.995,-13.346,37.052
苦瓜绿,DIC中国传统色,85.305,-16.129,38.581
嫩草绿,DIC中国传统色,65.584,-14.742,41.767
铜绿色,DIC中国传统色,72.513,-11.427,18.368
青豆色,DIC中国传统色,68.618,-12.824,21.553
深芽绿,DIC中国传统色,60.239,-15.311,45.896
夜绿色,DIC中国传统色,52.021,-8.599,7.503
军绿,DIC中国传统色,46.971,-13.824,21.262
冬瓜绿,DIC中国传统色,57.715,-23.091,16.535
荷茎绿,DIC中国传统色,71.903,-19.042,22.216
绿琉璃色,DIC中国传统色,49.293,-18.485,19.721
嫩葱绿,DIC中国传统色,59.512,-17.708,23.638
粗孔雀绿,DIC中国传统色,50.742,-21.937,3.036
深宝石绿,DIC中国传统色,54.448,-26.747,15.262
冬绿,DIC中国传统色,56.954,-15.809,11.04
巴黎绿,DIC中国传统色,64.212,-37.009,20.886
玉绿,DIC中国传统色,82.976,-21.897,7.952
果灰,DIC中国传统色,69.917,-11.934,4.686
碧玉石,DIC中国传统色,62.438,-13.06,-3.107
浅松绿,DIC中国传统色,76.363,-13.945,-0.072
深松绿,DIC中国传统色,71.063,-16.938,-0.899
浅鲜绿,DIC中国传统色,87.003,-16.213,0.173
水黄,DIC中国传统色,81.64,-10.768,15.306
浅水绿,DIC中国传统色,89.526,-10.324,-0.193
浅青瓷釉色,DIC中国传统色,87.03,-7.382,3.554
龙泉青瓷釉色,DIC中国传统色,77.567,-8.847,9.418
春绿,DIC中国传统色,82.991,-7.558,15.192
锈绿,DIC中国传统色,79.458,-8.616,11.106
蜡白,DIC中国传统色,90.27,-3.241,15.266
虾灰,DIC中国传统色,73.981,-5.767,17.327
大理石色,DIC中国传统色,70.684,-6.133,4.82
法国梧桐皮色,DIC中国传统色,61.99,-5.315,10.571
中条虾绿,DIC中国传统色,57.137,-3.967,4.049
卡其绿,DIC中国传统色,58.919,-6.755,24.771
老绿,DIC中国传统色,44.731,-16.833,13.989
燋茶色,DIC中国传统色,42.371,-3.186,10.93
铁绿,DIC中国传统色,43.197,-5.44,13.868
草灰色,DIC中国传统色,41.425,0.123,10.863
暗苔绿,DIC中国传统色,44.632,-12.297,9.162
品绿,DIC中国传统色,48.234,-23.372,-10.815
庭院瓦灰色,DIC中国传统色,53.532,-1.247,8.688
相思灰,DIC中国传统色,42.942,0.206,4.521
织锦灰,DIC中国传统色,61.223,-3.941,-1.358
奶绿,DIC中国传统色,79.772,-10.359,8.296
月白,DIC中国传统色,89.316,-4.137,-1.984
蛋青,DIC中国传统色,89.939,-4.914,1.049
蟹青,DIC中国传统色,61.717,-9.914,4.969
花青,DIC中国传统色,48.923,0.212,-12.407
群青,DIC中国传统色,33.179,18.768,-45.099
元青,DIC中国传统色,29.944,1.051,-0.304
青虾,DIC中国传统色,57.79,-6.081,0.935
绀青,DIC中国传统色,34.418,6.122,-17.1
钛青,DIC中国传统色,25.016,6.879,-15.712
铁青,DIC中国传统色,33.155,0.752,-6.42
青金色,DIC中国传统色,53.214,4.811,-20.431
青灰色,DIC中国传统色,42.672,-0.352,-1.4
承德皂,DIC中国传统色,41.026,-0.602,0.431
承德灰,DIC中国传统色,48.356,-0.601,1.657
沙青,DIC中国传统色,39.787,-2.041,-16.913
海蓝,DIC中国传统色,33.817,2.769,-23.758
钴蓝,DIC中国传统色,61.197,-3.995,-15.102
宝蓝,DIC中国传统色,30.28,30.656,-52.206
靛蓝,DIC中国传统色,28.625,5.246,-15.963
深蓝,DIC中国传统色,30.677,3.071,-17.93
藏蓝,DIC中国传统色,29.85,10.109,-24.922
灰蓝,DIC中国传统色,54.757,-6.838,-5.96
孔雀蓝,DIC中国传统色,30.545,31.652,-57.866
玉石蓝,DIC中国传统色,49.253,-6.758,-7.244
蟹蓝,DIC中国传统色,56.578,-5.352,-6.665
冬灰色,DIC中国传统色,53.226,-5.603,0.535
春蓝,DIC中国传统色,67.29,-7.196,-3.61
湖蓝灰,DIC中国传统色,51.036,-5.592,-8.071
竹月色,DIC中国传统色,60.553,-2.804,-18.931
深竹月,DIC中国传统色,51.508,1.177,-33.652
琉璃蓝,DIC中国传统色,42.862,-2.398,-20.659
毛月色,DIC中国传统色,56.838,-5.536,-21.876
柏坊灰蓝,DIC中国传统色,50.616,-4.907,-13.433
浅土蓝,DIC中国传统色,38.27,-1.372,-16.801
北京毛蓝,DIC中国传统色,46.38,-0.511,-23.531
绒蓝,DIC中国传统色,41.994,-0.629,-20.784
浅海昌蓝,DIC中国传统色,42.775,7.949,-27.923
深毛月色,DIC中国传统色,46.818,1.442,-22.818
深毛蓝,DIC中国传统色,31.607,1.127,-16.493
劳动布色,DIC中国传统色,32.174,4.219,-19.389
黛蓝,DIC中国传统色,31.096,-0.183,-10.887
鲜蓝,DIC中国传统色,36.515,28.887,-58.842
藏黑蓝,DIC中国传统色,27.153,5.619,-10.399
银蓝,DIC中国传统色,77.545,0.415,-8.955
雪蓝,DIC中国传统色,60.56,10.147,-32.954
罗蓝灰,DIC中国传统色,39.486,5.596,-13.572
丁香紫,DIC中国传统色,39.912,12.265,-12.189
青莲紫,DIC中国传统色,42.055,39.178,-34.709
莲灰,DIC中国传统色,71.281,4.037,-11.304
绛紫,DIC中国传统色,32.997,9.798,3.782
黑紫,DIC中国传统色,22.919,8.88,0.629
茄皮紫,DIC中国传统色,33.005,8.55,-0.093
牵牛紫,DIC中国传统色,31.453,50.141,-17.886
紫薇花,DIC中国传统色,72.686,32.123,-17.535
紫水晶,DIC中国传统色,73.833,14.087,-16.062
浅石英紫,DIC中国传统色,65.458,16.057,-22.914
浅凤仙紫,DIC中国传统色,66.185,32.351,-31.066
木槿紫,DIC中国传统色,60.774,20.552,-25.663
紫罗蓝,DIC中国传统色,25.591,37.026,-28.866
龙胆紫,DIC中国传统色,27.838,16.022,-26.149
雪紫,DIC中国传统色,34.133,17.859,-3.98
紫粉,DIC中国传统色,37.739,36.7,3.213
紫绛色,DIC中国传统色,26.672,22.486,1.172
紫铜色,DIC中国传统色,36.56,18.199,2.258
淡藕荷,DIC中国传统色,81.056,6.485,-8.938
