color,from,l,a,b
虾壳青,色谱_perchouli,63.024,-8.037,-2.711
花青,色谱_perchouli,47.92,-1.084,-41.15
鲛青,色谱_perchouli,48.926,1.19,31.624
钢青,色谱_perchouli,13.222,-0.285,-13.071
靛青,色谱_perchouli,40.668,6.248,-45.703
群青,色谱_perchouli,46.325,-0.83,-41.953
碧青,色谱_perchouli,68.659,-19.155,-20.66
海青,色谱_perchouli,61.756,-21.664,-26.367
霁青,色谱_perchouli,71.381,-20.677,-18.694
天蓝,色谱_perchouli,47.774,-4.319,-39.079
蓝翠,色谱_perchouli,59.872,-25.267,-20.271
钴蓝,色谱_perchouli,57.102,-17.26,-29.627
宝蓝,色谱_perchouli,52.868,-9.681,-34.505
钢蓝,色谱_perchouli,6.532,2.584,-11.038
燕颔蓝,色谱_perchouli,8.298,1.575,-9.037
鸽蓝,色谱_perchouli,16.096,-0.641,-11.396
暗蓝,色谱_perchouli,11.299,-0.06,-13.218
海涛蓝,色谱_perchouli,35.962,7.155,-43.113
飞燕草蓝,色谱_perchouli,37.708,8.167,-46.307
安安蓝,色谱_perchouli,45.675,-1.573,-35.351
海军蓝,色谱_perchouli,44.023,-2.585,-31.458
景泰蓝,色谱_perchouli,47.662,-0.423,-40.973
品蓝,色谱_perchouli,46.801,-1.326,-38.261
尼罗蓝,色谱_perchouli,47.236,-0.518,-41.073
蝶翅蓝,色谱_perchouli,50.224,-4.955,-24.651
鷃蓝,色谱_perchouli,30.173,-1.177,-28.979
星蓝,色谱_perchouli,72.064,-5.468,-16.884
虹蓝,色谱_perchouli,48.229,-1.51,-41.24
柏林蓝,色谱_perchouli,43.797,0.818,-42.475
云水蓝,色谱_perchouli,81.09,-3.446,-8.513
羽扇豆蓝,色谱_perchouli,61.299,-7.236,-26.912
晴山蓝,色谱_perchouli,70.799,-6.479,-15.529
睛蓝,色谱_perchouli,60.224,-8.566,-28.612
搪磁蓝,色谱_perchouli,40.829,-3.412,-35.364
潮蓝,色谱_perchouli,52.163,-6.692,-36.749
牵牛花蓝,色谱_perchouli,47.554,-5.786,-37.689
釉蓝,色谱_perchouli,50.94,-9.381,-35.247
涧石蓝,色谱_perchouli,66.071,-12.543,-22.913
远天蓝,色谱_perchouli,87.919,-3.649,-5.137
云山蓝,色谱_perchouli,56.139,-14.051,-29.389
秋波蓝,色谱_perchouli,73.527,-11.292,-15.82
井天蓝,色谱_perchouli,84.756,-5.084,-6.21
鸢尾蓝,色谱_perchouli,54.115,-14.081,-32.002
苍蓝,色谱_perchouli,28.009,-11.457,-13.88
深灰蓝,色谱_perchouli,16.398,-7.204,-7.482
灰蓝,色谱_perchouli,21.552,-6.79,-6.489
湖水蓝,色谱_perchouli,82.99,-9.989,-8.963
玉鈫蓝,色谱_perchouli,42.598,-17.7,-18.224
胆矾蓝,色谱_perchouli,56.81,-22.628,-23.274
樫鸟蓝,色谱_perchouli,55.303,-23.007,-21.016
鸥蓝,色谱_perchouli,83.436,-3.337,-2.276
蜻蜓蓝,色谱_perchouli,50.124,-18.555,-12.603
孔雀蓝,色谱_perchouli,66.026,-27.972,-23.169
蔚蓝,色谱_perchouli,68.494,-29.06,-20.481
瀑布蓝,色谱_perchouli,73.499,-27.779,-17.181
闪蓝,色谱_perchouli,66.964,-14.138,-8.136
